truetime,L,R,B,D,C
0.8900000000,30.6762636337,130.6762636337,69.3237363663,0.0000000000,0.0000000000
0.8950000000,30.5457467427,130.5457467427,69.4542532573,0.0000000000,0.0000000000
0.9000000000,30.4164062950,130.4164062950,69.5835937050,0.0000000000,0.0000000000
0.9050000000,30.2882300286,130.2882300286,69.7117699714,0.0000000000,0.0000000000
0.9100000000,30.1612058368,130.1612058368,69.8387941632,0.0000000000,0.0000000000
0.9150000000,30.0353217654,130.0353217654,69.9646782346,0.0000000000,0.0000000000
0.9200000000,29.9105660105,129.9105660105,70.0894339895,0.0000000000,0.0000000000
0.9250000000,29.7869269165,129.7869269165,70.2130730835,0.0000000000,0.0000000000
0.9300000000,29.6643929734,129.6643929734,70.3356070266,0.0000000000,0.0000000000
0.9350000000,29.5429528147,129.5429528147,70.4570471853,0.0000000000,0.0000000000
0.9400000000,29.4225952152,129.4225952152,70.5774047848,0.0000000000,0.0000000000
0.9450000000,29.3033090888,129.3033090888,70.6966909112,0.0000000000,0.0000000000
0.9500000000,29.1850834867,129.1850834867,70.8149165133,0.0000000000,0.0000000000
0.9550000000,29.0679075948,129.0679075948,70.9320924052,0.0000000000,0.0000000000
0.9600000000,28.9517707320,128.9517707320,71.0482292680,0.0000000000,0.0000000000
0.9650000000,28.8366623481,128.8366623481,71.1633376519,0.0000000000,0.0000000000
0.9700000000,28.7225720218,128.7225720219,71.2774279782,0.0000000000,0.0000000000
0.9750000000,28.6094894591,128.6094894591,71.3905105409,0.0000000000,0.0000000000
0.9800000000,28.4974044906,128.4974044906,71.5025955094,0.0000000000,0.0000000000
0.9850000000,28.3863070707,128.3863070707,71.6136929293,0.0000000000,0.0000000000
0.9900000000,28.2761872748,128.2761872748,71.7238127252,0.0000000000,0.0000000000
0.9950000000,28.1670352982,128.1670352982,71.8329647018,0.0000000000,0.0000000000
1.0000000000,28.0588414540,128.0588414540,71.9411585460,0.0000000000,0.0000000000
1.0050000000,27.9515961713,127.9515961713,72.0484038287,0.0000000000,0.0000000000
1.0100000000,27.8452899938,127.8452899938,72.1547100062,0.0000000000,0.0000000000
1.0150000000,27.7399135780,127.7399135780,72.2600864220,0.0000000000,0.0000000000
1.0200000000,27.6354576912,127.6354576912,72.3645423088,0.0000000000,0.0000000000
1.0250000000,27.5319132106,127.5319132106,72.4680867894,0.0000000000,0.0000000000
1.0300000000,27.4292711210,127.4292711210,72.5707288790,0.0000000000,0.0000000000
1.0350000000,27.3275225138,127.3275225138,72.6724774863,0.0000000000,0.0000000000
1.0400000000,27.2266585849,127.2266585849,72.7733414151,0.0000000000,0.0000000000
1.0450000000,27.1266706338,127.1266706339,72.8733293662,0.0000000000,0.0000000000
1.0500000000,27.0275500619,127.0275500619,72.9724499381,0.0000000000,0.0000000000
1.0550000000,26.9292883707,126.9292883707,73.0707116293,0.0000000000,0.0000000000
1.0600000000,26.8318771608,126.8318771608,73.1681228392,0.0000000000,0.0000000000
1.0650000000,26.7353081304,126.7353081304,73.2646918696,0.0000000000,0.0000000000
1.0700000000,26.6395730738,126.6395730738,73.3604269262,0.0000000000,0.0000000000
1.0750000000,26.5446638802,126.5446638802,73.4553361198,0.0000000000,0.0000000000
1.0800000000,26.4505725322,126.4505725322,73.5494274678,0.0000000000,0.0000000000
1.0850000000,26.3572911046,126.3572911046,73.6427088954,0.0000000000,0.0000000000
1.0900000000,26.2648117631,126.2648117631,73.7351882369,0.0000000000,0.0000000000
1.0950000000,26.1731267630,126.1731267630,73.8268732370,0.0000000000,0.0000000000
1.1000000000,26.0822284480,126.0822284480,73.9177715520,0.0000000000,0.0000000000
1.1050000000,25.9921092489,125.9921092489,74.0078907511,0.0000000000,0.0000000000
1.1100000000,25.9027616825,125.9027616825,74.0972383175,0.0000000000,0.0000000000
1.1150000000,25.8141783503,125.8141783503,74.1858216497,0.0000000000,0.0000000000
1.1200000000,25.7263519375,125.7263519375,74.2736480625,0.0000000000,0.0000000000
1.1250000000,25.6392752115,125.6392752115,74.3607247885,0.0000000000,0.0000000000
1.1300000000,25.5529410213,125.5529410213,74.4470589787,0.0000000000,0.0000000000
1.1350000000,25.4673422961,125.4673422961,74.5326577039,0.0000000000,0.0000000000
1.1400000000,25.3824720439,125.3824720439,74.6175279561,0.0000000000,0.0000000000
1.1450000000,25.2983233512,125.2983233512,74.7016766488,0.0000000000,0.0000000000
1.1500000000,25.2148893811,125.2148893811,74.7851106189,0.0000000000,0.0000000000
1.1550000000,25.1321633729,125.1321633729,74.8678366271,0.0000000000,0.0000000000
1.1600000000,25.0501386408,125.0501386408,74.9498613592,0.0000000000,0.0000000000
1.1650000000,24.9688085729,124.9688085729,75.0311914271,0.0000000000,0.0000000000
1.1700000000,24.8881666302,124.8881666302,75.1118333698,0.0000000000,0.0000000000
1.1750000000,24.8082063458,124.8082063458,75.1917936542,0.0000000000,0.0000000000
1.1800000000,24.7289213236,124.7289213236,75.2710786764,0.0000000000,0.0000000000
1.1850000000,24.6503052379,124.6503052379,75.3496947621,0.0000000000,0.0000000000
1.1900000000,24.5723518318,124.5723518318,75.4276481682,0.0000000000,0.0000000000
1.1950000000,24.4950549169,124.4950549169,75.5049450831,0.0000000000,0.0000000000
1.2000000000,24.4184083720,124.4184083720,75.5815916280,0.0000000000,0.0000000000
1.2050000000,24.3424061424,124.3424061424,75.6575938576,0.0000000000,0.0000000000
1.2100000000,24.2670422391,124.2670422391,75.7329577609,0.0000000000,0.0000000000
1.2150000000,24.1923107376,124.1923107376,75.8076892624,0.0000000000,0.0000000000
1.2200000000,24.1182057774,124.1182057774,75.8817942226,0.0000000000,0.0000000000
1.2250000000,24.0447215612,124.0447215612,75.9552784388,0.0000000000,0.0000000000
1.2300000000,23.9718523538,123.9718523538,76.0281476462,0.0000000000,0.0000000000
1.2350000000,23.8995924814,123.8995924814,76.1004075186,0.0000000000,0.0000000000
1.2400000000,23.8279363309,123.8279363309,76.1720636691,0.0000000000,0.0000000000
1.2450000000,23.7568783493,123.7568783493,76.2431216507,0.0000000000,0.0000000000
1.2500000000,23.6864130423,123.6864130423,76.3135869577,0.0000000000,0.0000000000
1.2550000000,23.6165349742,123.6165349742,76.3834650258,0.0000000000,0.0000000000
1.2600000000,23.5472387670,123.5472387670,76.4527612330,0.0000000000,0.0000000000
1.2650000000,23.4785190993,123.4785190993,76.5214809007,0.0000000000,0.0000000000
1.2700000000,23.4103707062,123.4103707062,76.5896292938,0.0000000000,0.0000000000
1.2750000000,23.3427883778,123.3427883778,76.6572116222,0.0000000000,0.0000000000
1.2800000000,23.2757669595,123.2757669595,76.7242330405,0.0000000000,0.0000000000
1.2850000000,23.2093013502,123.2093013502,76.7906986498,0.0000000000,0.0000000000
1.2900000000,23.1433865027,123.1433865027,76.8566134973,0.0000000000,0.0000000000
1.2950000000,23.0780174221,123.0780174221,76.9219825779,0.0000000000,0.0000000000
1.3000000000,23.0131891659,123.0131891659,76.9868108341,0.0000000000,0.0000000000
1.3050000000,22.9488968427,122.9488968427,77.0511031573,0.0000000000,0.0000000000
1.3100000000,22.8851356121,122.8851356121,77.1148643879,0.0000000000,0.0000000000
1.3150000000,22.8219006837,122.8219006837,77.1780993163,0.0000000000,0.0000000000
1.3200000000,22.7591873167,122.7591873167,77.2408126833,0.0000000000,0.0000000000
1.3250000000,22.6969908193,122.6969908193,77.3030091807,0.0000000000,0.0000000000
1.3300000000,22.6353065478,122.6353065478,77.3646934522,0.0000000000,0.0000000000
